ID;Descripcion;Estado
1;-;True;
2;Boulogne;True;
3;CABA;True;
4;Carapachay;True;
5;José Leon Suárez;True;
6;Martínez;True;
7;Olivos;True;
8;San Martín;True;
9;Villa Adelina;True;
10;Villa Ballester;True;
11;Villa Lynch;True;
12;Tigre;True;
15;Pacheco;True;
16;Escobar;True;
17;Rincón de Milberg;True;
18;Avellaneda;True;
19;Longchamps;True;
20;Virrey del Pino;True;
21;Villa Soldati;True;
22;Retiro;True;
23;Constitución;True;
24;Sarandí;True;
25;Lanus;True;
26;Acassusso;True;
27;Munro;True;
28;Ezeiza;True;
29;Banfield;True;
30;Virreyes;True;
31;San Fernando;True;
33;Florida;True;
34;Vicente López;True;
